"id","area","address","building","longitude","latitude"
"1","北京 - 海淀 - 西三旗","三期百汇","西三旗三旗百汇","NULL","NULL"
"2","北京 - 海淀 - 学院路","[海淀  学院路] 西土城路与学院南路交叉路口    查看地图","学院派","NULL","NULL"
"3","北京 - 朝阳 - 芍药居","文学馆路","芍药居","NULL","NULL"
"4","北京 - 朝阳 - 酒仙桥","[朝阳  酒仙桥] 将台路以南与酒仙桥路以东之间    查看地图","颐堤港","NULL","NULL"
"5","北京 - 海淀","北京市海淀区海淀南路硅谷亮城2B-316    查看地图","上地华联","NULL","NULL"
"6","北京 - 朝阳 - 酒仙桥","将台路","正规足疗保健店公司营业执照税务登记证齐全","NULL","NULL"
"7","北京 - 丰台 - 角门","马家堡路    查看地图","马家堡","NULL","NULL"
"8","北京 - 昌平 - 十三陵","十三陵郊野公园","十三陵","NULL","NULL"
"9","北京 - 海淀 - 五棵松","今日家园","今日家园","NULL","NULL"
"10","北京 - 朝阳 - 双桥","双桥咸宁侯东双桥农贸批发市场D167号","新发地双桥农贸批发市场","NULL","NULL"
"11","北京 - 通州 - 梨园城铁","金日时代服装商城商铺","金日商铺转让","NULL","NULL"
"12","北京 - 东城 - 东直门","东直门","东直门","NULL","NULL"
"13","北京 - 宣武 - 右安门","开阳桥西北","清芷园小区","NULL","NULL"
"14","北京 - 朝阳 - 亚运村","慧忠里226号","慧忠里226号","NULL","NULL"
"15","北京 - 海淀 - 世纪城","世纪城","世纪城","NULL","NULL"
"16","北京 - 丰台 - 丰台路","北京市丰台区大成路6号金隅大成时代写字楼10层","北京天乐基业","NULL","NULL"
"17","北京 - 昌平 - 回龙观","龙禧二街地铁口","回龙观龙禧二街","NULL","NULL"
"18","北京 - 怀柔","怀柔南花园三区","怀柔南花园三区","NULL","NULL"
"19","北京 - 通州 - 土桥","一层底商","太玉园底商","NULL","NULL"
"20","NULL","西单明珠5层601","NULL","NULL","NULL"
"21","NULL","NULL","NULL","NULL","NULL"
"22","NULL","太平庄站牌","NULL","NULL","NULL"
"23","NULL","NULL","NULL","NULL","NULL"
"24","NULL","洋桥附近","NULL","NULL","NULL"
"25","NULL","云景里","NULL","NULL","NULL"
"26","NULL","NULL","NULL","NULL","NULL"
"27","NULL","NULL","NULL","NULL","NULL"
"28","NULL","NULL","NULL","NULL","NULL"
"29","NULL","详细地址","NULL","NULL","NULL"
"30","NULL","双井合生国际","NULL","NULL","NULL"
"31","NULL","NULL","NULL","NULL","NULL"
"32","NULL","双井合生国际","NULL","NULL","NULL"
"33","NULL","双井合生国际","NULL","NULL","NULL"
"34","NULL","NULL","NULL","NULL","NULL"
"35","NULL","景阳东街","NULL","NULL","NULL"
"36","NULL","顺义城区","NULL","NULL","NULL"
"37","NULL","四惠地铁站E出口","NULL","NULL","NULL"
"38","NULL","NULL","NULL","NULL","NULL"
"39","NULL","家乐福附近","NULL","NULL","NULL"
"40","NULL","丰益桥西800米路北即到","NULL","NULL","NULL"
"41","NULL","NULL","NULL","NULL","NULL"
"42","NULL","NULL","NULL","NULL","NULL"
"43","NULL","桥东西木樨园七号楼二号","NULL","NULL","NULL"
"44","NULL","798艺术区","NULL","NULL","NULL"
"45","NULL","狼垡","NULL","NULL","NULL"
"46","NULL","科贸电子城","NULL","NULL","NULL"
"47","NULL","北京天和白马商城","NULL","NULL","NULL"
"48","NULL","木樨园桥南100米","NULL","NULL","NULL"
"49","NULL","市容市政委员会","NULL","NULL","NULL"
"50","北京 - 西城 - 西单","华威大厦4层韩国层内","华威大厦4城韩国城内","NULL","NULL"
